41.cubes128.adj, verified, 0 solutions, 37.0815  seconds 
41.cubes1280.adj, verified, 0 solutions, 2.72636  seconds 
41.cubes1281.adj, verified, 0 solutions, 24.2711  seconds 
41.cubes1282.adj, verified, 0 solutions, 4.79377  seconds 
41.cubes1283.adj, verified, 0 solutions, 72.8929  seconds 
41.cubes1284.adj, verified, 0 solutions, 74.3739  seconds 
41.cubes1285.adj, verified, 0 solutions, 38.5864  seconds 
41.cubes1286.adj, verified, 0 solutions, 44.7355  seconds 
41.cubes1287.adj, verified, 0 solutions, 88.9055  seconds 
41.cubes1288.adj, verified, 0 solutions, 45.6844  seconds 
41.cubes1289.adj, verified, 0 solutions, 89.5755  seconds 
41.cubes129.adj, verified, 0 solutions, 28.6353  seconds 
41.cubes1290.adj, verified, 0 solutions, 49.7581  seconds 
41.cubes1291.adj, verified, 0 solutions, 4.64643  seconds 
41.cubes1292.adj, verified, 0 solutions, 260.304  seconds 
41.cubes1293.adj, verified, 0 solutions, 298.048  seconds 
41.cubes1294.adj, verified, 0 solutions, 567.421  seconds 
41.cubes1295.adj, verified, 0 solutions, 502.796  seconds 
41.cubes1296.adj, verified, 0 solutions, 332.967  seconds 
41.cubes1297.adj, verified, 0 solutions, 7.79514  seconds 
41.cubes1298.adj, verified, 0 solutions, 21.8989  seconds 
41.cubes1299.adj, verified, 0 solutions, 17.9188  seconds 
41.cubes13.adj, verified, 0 solutions, 15.4966  seconds 
41.cubes130.adj, verified, 0 solutions, 6.13863  seconds 
41.cubes1300.adj, verified, 0 solutions, 60.1866  seconds 
41.cubes1301.adj, verified, 0 solutions, 4.49595  seconds 
41.cubes1302.adj, verified, 0 solutions, 8.63564  seconds 
41.cubes1303.adj, verified, 0 solutions, 30.7642  seconds 
41.cubes1304.adj, verified, 0 solutions, 18.5064  seconds 
41.cubes1305.adj, verified, 0 solutions, 19.6535  seconds 
41.cubes1306.adj, verified, 0 solutions, 37.928  seconds 
41.cubes1307.adj, verified, 0 solutions, 54.86  seconds 
41.cubes1308.adj, verified, 0 solutions, 24.4563  seconds 
41.cubes1309.adj, verified, 0 solutions, 16.1904  seconds 
41.cubes131.adj, verified, 0 solutions, 32.6945  seconds 
41.cubes1310.adj, verified, 0 solutions, 16.7748  seconds 
41.cubes1311.adj, verified, 0 solutions, 4.32281  seconds 
41.cubes1312.adj, verified, 0 solutions, 59.5206  seconds 
41.cubes1313.adj, verified, 0 solutions, 84.3309  seconds 
41.cubes1314.adj, verified, 0 solutions, 41.4799  seconds 
41.cubes1315.adj, verified, 0 solutions, 46.9696  seconds 
41.cubes1316.adj, verified, 0 solutions, 29.2706  seconds 
41.cubes1317.adj, verified, 0 solutions, 21.8202  seconds 
41.cubes1318.adj, verified, 0 solutions, 15.0366  seconds 
41.cubes1319.adj, verified, 0 solutions, 21.8035  seconds 
41.cubes132.adj, verified, 0 solutions, 29.7732  seconds 
41.cubes1320.adj, verified, 0 solutions, 16.2222  seconds 
41.cubes1321.adj, verified, 0 solutions, 21.4067  seconds 
41.cubes1322.adj, verified, 0 solutions, 22.8439  seconds 
41.cubes1323.adj, verified, 0 solutions, 5.49249  seconds 
