2157 cubes in 22-cubes/15.cubes
  Depth 16 instance 548 was not split at previous depth; skipping
  Depth 16 instance 549 was not split at previous depth; skipping
  Depth 16 instance 558 was determined to be UNSAT; skipping
  Depth 16 instance 559 was determined to be UNSAT; skipping
  Depth 16 instance 564 was not split at previous depth; skipping
  Depth 16 instance 567 was determined to be UNSAT; skipping
  Depth 16 instance 570 was determined to be UNSAT; skipping
  Depth 16 instance 571 was not split at previous depth; skipping
  Depth 16 instance 572 was not split at previous depth; skipping
  Depth 16 instance 575 was not split at previous depth; skipping
  Depth 16 instance 576 was not split at previous depth; skipping
  Depth 16 instance 581 was not split at previous depth; skipping
  Depth 16 instance 582 was not split at previous depth; skipping
  Depth 16 instance 583 was not split at previous depth; skipping
  Depth 16 instance 584 was not split at previous depth; skipping
  Depth 16 instance 585 was not split at previous depth; skipping
  Depth 16 instance 586 was not split at previous depth; skipping
  Depth 16 instance 587 was determined to be UNSAT; skipping
  Depth 16 instance 590 was determined to be UNSAT; skipping
  Depth 16 instance 595 was determined to be UNSAT; skipping
  Depth 16 instance 598 was not split at previous depth; skipping
  Depth 16 instance 601 was determined to be UNSAT; skipping
  Depth 16 instance 604 was determined to be UNSAT; skipping
  Depth 16 instance 607 was determined to be UNSAT; skipping
  Depth 16 instance 610 was determined to be UNSAT; skipping
  Depth 16 instance 619 was determined to be UNSAT; skipping
  Depth 16 instance 620 was determined to be UNSAT; skipping
  Depth 16 instance 621 was not split at previous depth; skipping
  Depth 16 instance 622 was not split at previous depth; skipping
  Depth 16 instance 623 was not split at previous depth; skipping
  Depth 16 instance 624 was not split at previous depth; skipping
  Depth 16 instance 625 was not split at previous depth; skipping
  Depth 16 instance 626 was determined to be UNSAT; skipping
  Depth 16 instance 627 was not split at previous depth; skipping
  Depth 16 instance 628 was not split at previous depth; skipping
  Depth 16 instance 629 was not split at previous depth; skipping
  Depth 16 instance 630 was not split at previous depth; skipping
  Depth 16 instance 631 was not split at previous depth; skipping
  Depth 16 instance 632 was not split at previous depth; skipping
  Depth 16 instance 633 was not split at previous depth; skipping
  Depth 16 instance 634 was not split at previous depth; skipping
  Depth 16 instance 635 was not split at previous depth; skipping
  Depth 16 instance 636 was determined to be UNSAT; skipping
  Depth 16 instance 637 was not split at previous depth; skipping
  Depth 16 instance 638 was not split at previous depth; skipping
  Depth 16 instance 639 was not split at previous depth; skipping
  Depth 16 instance 640 was not split at previous depth; skipping
  Depth 16 instance 641 was determined to be UNSAT; skipping
  Depth 16 instance 642 was determined to be UNSAT; skipping
  Depth 16 instance 643 was not split at previous depth; skipping
  Depth 16 instance 648 was not split at previous depth; skipping
  Depth 16 instance 649 was not split at previous depth; skipping
  Depth 16 instance 650 was not split at previous depth; skipping
  Depth 16 instance 651 was not split at previous depth; skipping
  Depth 16 instance 652 was not split at previous depth; skipping
  Depth 16 instance 653 was not split at previous depth; skipping
  Depth 16 instance 654 was not split at previous depth; skipping
  Depth 16 instance 655 was not split at previous depth; skipping
  Depth 16 instance 656 was not split at previous depth; skipping
  Depth 16 instance 657 was not split at previous depth; skipping
  Depth 16 instance 658 was not split at previous depth; skipping
  Depth 16 instance 659 was not split at previous depth; skipping
  Depth 16 instance 660 was not split at previous depth; skipping
  Depth 16 instance 661 was not split at previous depth; skipping
  Depth 16 instance 662 was not split at previous depth; skipping
  Depth 16 instance 663 was not split at previous depth; skipping
  Depth 16 instance 664 was not split at previous depth; skipping
  Depth 16 instance 665 was not split at previous depth; skipping
  Depth 16 instance 668 was not split at previous depth; skipping
  Depth 16 instance 673 was not split at previous depth; skipping
  Depth 16 instance 674 was not split at previous depth; skipping
  Depth 16 instance 675 was not split at previous depth; skipping
  Depth 16 instance 676 was not split at previous depth; skipping
  Depth 16 instance 677 was not split at previous depth; skipping
  Depth 16 instance 680 was not split at previous depth; skipping
  Depth 16 instance 681 was not split at previous depth; skipping
  Depth 16 instance 682 was not split at previous depth; skipping
  Depth 16 instance 685 was not split at previous depth; skipping
  Depth 16 instance 686 was not split at previous depth; skipping
  Depth 16 instance 687 was not split at previous depth; skipping
  Depth 16 instance 696 was not split at previous depth; skipping
  Depth 16 instance 697 was not split at previous depth; skipping
  Depth 16 instance 698 was not split at previous depth; skipping
  Depth 16 instance 701 was not split at previous depth; skipping
  Depth 16 instance 702 was not split at previous depth; skipping
  Depth 16 instance 705 was not split at previous depth; skipping
  Depth 16 instance 706 was not split at previous depth; skipping
  Depth 16 instance 711 was not split at previous depth; skipping
  Depth 16 instance 712 was not split at previous depth; skipping
  Depth 16 instance 713 was not split at previous depth; skipping
  Depth 16 instance 716 was not split at previous depth; skipping
  Depth 16 instance 723 was not split at previous depth; skipping
  Depth 16 instance 726 was not split at previous depth; skipping
  Depth 16 instance 737 was not split at previous depth; skipping
  Depth 16 instance 738 was determined to be UNSAT; skipping
  Depth 16 instance 739 was not split at previous depth; skipping
  Depth 16 instance 740 was not split at previous depth; skipping
  Depth 16 instance 741 was not split at previous depth; skipping
  Depth 16 instance 742 was not split at previous depth; skipping
  Depth 16 instance 749 was determined to be UNSAT; skipping
  Depth 16 instance 750 was not split at previous depth; skipping
  Depth 16 instance 751 was determined to be UNSAT; skipping
  Depth 16 instance 752 was not split at previous depth; skipping
  Depth 16 instance 753 was not split at previous depth; skipping
  Depth 16 instance 754 was not split at previous depth; skipping
  Depth 16 instance 755 was not split at previous depth; skipping
  Depth 16 instance 756 was not split at previous depth; skipping
  Depth 16 instance 763 was determined to be UNSAT; skipping
  Depth 16 instance 764 was not split at previous depth; skipping
  Depth 16 instance 769 was not split at previous depth; skipping
  Depth 16 instance 776 was determined to be UNSAT; skipping
  Depth 16 instance 777 was determined to be UNSAT; skipping
  Depth 16 instance 778 was not split at previous depth; skipping
  Depth 16 instance 779 was not split at previous depth; skipping
  Depth 16 instance 780 was not split at previous depth; skipping
  Depth 16 instance 781 was not split at previous depth; skipping
  Depth 16 instance 782 was not split at previous depth; skipping
  Depth 16 instance 785 was not split at previous depth; skipping
  Depth 16 instance 786 was determined to be UNSAT; skipping
  Depth 16 instance 789 was not split at previous depth; skipping
  Depth 16 instance 790 was not split at previous depth; skipping
  Depth 16 instance 791 was determined to be UNSAT; skipping
  Depth 16 instance 792 was determined to be UNSAT; skipping
